"0","# Find the maximum SEVENT value in your data"
"0","max_SEVENT <- max(data_layout_1$SEVENT)"
"0",""
"0","# Create a data frame with all combinations of USUBJID and SEVENT"
"0","combinations <- expand.grid(ID = unique(data_layout_1$ID), SEVENT = 1:max_SEVENT)"
"0",""
"0","# Merge the original data frame with all combinations of USUBJID and SEVENT"
"0","data_layout_2 <- "
"0","  merge(combinations, data_layout_1,"
"0","      by = c(""ID"", ""SEVENT""),"
"0","      all.x = TRUE"
"0","    ) %>%"
"0","    arrange(ID, SEVENT) %>%"
"0","  # select only necessary variables (TGAP are not necessary in this layout)"
"0","    dplyr::select(-TGAP) %>%"
"0","  # fill in missing values by repeating the value of the last cell"
"0","    fill(PARAMCD, TSTART, TSTOP, STATUS, SEVENT, DISEASE_COURSE, SEX, AGE, RACE,"
"0","      TIME_SINCE_DIAGNOSIS"
"0","    )"
